SiteNo,DecLatVa [deg],DecLongVa [deg],AquiferType
404717099460501.00,40.78761111,-99.76803611,UNCONFINED
404742101010801.00,40.79584066,-101.0195954,
404854100451401.00,40.81528385,-100.7543134,
404949099445701.00,40.83013889,-99.74989444,UNCONFINED
405014099591001.00,40.83725,-99.98618889,UNCONFINED
405040098384503.00,40.84441111,-98.64563056,UNCONFINED
405118099514901.00,40.85508333,-99.86358333,UNCONFINED
405137099085201.00,40.85825,-99.15303889,UNCONFINED
405227098165601.00,40.87416667,-98.28222222,UNCONFINED
405305097351503.00,40.88473417,-97.58782889,
405315098304302.00,40.88797222,-98.51190556,UNCONFINED
405406097115001.00,40.90167619,-97.19754054,
405435098432601.00,40.90969444,-98.724,CONFINED
405445100074001.00,40.91222222,-100.1283889,UNCONFINED
405503098441801.00,40.91741667,-98.73838889,CONFINED
405632098373501.00,40.94202778,-98.62683333,UNCONFINED
405732100531201.00,40.95889028,-100.8870915,
405738099504501.00,40.96063889,-99.84577778,CONFINED
405744100403701.00,40.9625,-100.6773,
405855098383001.00,40.98205556,-98.64169444,CONFINED
405855100073901.00,40.98186111,-100.1274444,UNCONFINED
405921097514701.00,40.98918066,-97.86338905,
410102098374201.00,41.01722222,-98.62833333,UNCONFINED
410102102232301.00,41.01888333,-102.3923333,
410154099394701.00,41.03167454,-99.66344371,CONFINED
410156098442601.00,41.03232778,-98.74045556,UNCONFINED
410248099164701.00,41.04675,-99.27972222,UNCONFINED
410250101004201.00,41.04722092,-101.0120948,
410312102052001.00,41.05426944,-102.0926444,
410330102433801.00,41.05786667,-102.7282861,
410437103121101.00,41.07675833,-103.2041917,UNCONFINED
410517100144901.00,41.07917141,-100.250962,
410538101355701.00,41.09527089,-101.6012823,UNCONFINED
410618098113401.00,41.10436111,-98.19296111,UNCONFINED
410725103104201.00,41.12383889,-103.1789556,UNCONFINED
410836102010901.00,41.14471278,-102.0224034,
410943097575001.00,41.16177778,-97.96390278,UNCONFINED
411059101071101.00,41.18305059,-101.1201574,
411126099422501.00,41.19041667,-99.70697222,UNCONFINED
411130103454901.00,41.19398889,-104.0490861,
411130104024401.00,41.19157222,-103.7640889,
411231096193201.00,41.20861111,-96.32555556,UNCONFINED
411416103361101.00,41.23600833,-103.6051583,
411555102385601.00,41.26615833,-102.6477333,
411710097145901.00,41.28612463,-97.25004043,
411711097211101.00,41.28640268,-97.35337689,
411733096185501.00,41.29258889,-96.31529722,UNCONFINED
411736096170201.00,41.29322222,-96.28375,UNCONFINED
411738097264301.00,41.29377778,-97.44516667,UNCONFINED
411739103401501.00,41.29352222,-103.6726556,
411757096202501.00,41.29916667,-96.34027778,UNCONFINED
411817101450901.00,41.30387798,-101.7554538,
412006102003501.00,41.33526509,-102.0121257,
412336104022801.00,41.393275,-104.0402833,UNCONFINED
412507100074901.00,41.41861363,-100.1306851,UNCONFINED
412526102252701.00,41.42600278,-102.4247972,UNCONFINED
412706096332801.00,41.45166692,-96.55808151,
412810101190001.00,41.47110312,-101.3151681,
412905097085101.00,41.48473136,-97.14781341,
412944103452701.00,41.49531944,-103.7576194,
412946096423101.00,41.49611378,-96.70891713,
413022098241001.00,41.50612467,-98.40312559,UNCONFINED
413042098462401.00,41.51167779,-98.77369267,
413130100531202.00,41.52505556,-100.8883889,UNCONFINED
413156098591201.00,41.53223249,-98.9870332,
413216102520201.00,41.53775551,-102.8677032,
413253100565401.00,41.54943866,-100.9512658,
413315097181801.00,41.55473243,-97.32365136,
413324101494101.00,41.55748577,-101.8251789,
413455102370701.00,41.58305833,-102.6173972,UNCONFINED
413549097260501.00,41.59695448,-97.43504394,
413813103334501.00,41.63691679,-103.5629969,
414031101305602.00,41.65249026,-101.5046171,
414153103561402.00,41.69802749,-103.9377268,UNCONFINED
414413099440801.00,41.72916938,-99.74567653,UNCONFINED
414506098285901.00,41.75167674,-98.4834076,
414518101445401.00,41.75498624,-101.7487892,UNCONFINED
414607102263302.00,41.76925,-102.4446667,UNCONFINED
415022096434301.00,41.83958333,-96.7285,UNCONFINED
415151100335601.00,41.86416409,-100.565976,UNCONFINED
415325103392801.00,41.888578,-103.6602215,
415532101135801.00,41.92555134,-101.2332236,UNCONFINED
415559098005201.00,41.93306391,-98.01478621,UNCONFINED
415803098440901.00,41.96750637,-98.73619715,UNCONFINED
420204101200502.00,42.03443974,-101.3351683,
420500099244001.00,42.08333595,-99.41150123,UNCONFINED
420530103104001.00,42.09163073,-103.1782613,UNCONFINED
420806100222301.00,42.13499905,-100.3734676,UNCONFINED
420904102525201.00,42.15246656,-102.8746445,
421210098402001.00,42.20278308,-98.67258671,UNCONFINED
421505103051701.00,42.25135028,-103.0885343,UNCONFINED
421519101173601.00,42.2552728,-101.2937756,
422150097402401.00,42.36522222,-97.67163889,UNCONFINED
422155100381301.00,42.36527794,-100.6373613,UNCONFINED
422849099521503.00,42.48027688,-99.87123605,UNCONFINED
